REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2021,Springerville Generating Station,1001196,COUNTY ROAD #4162,34.3186,-109.1636,SPRINGERVILLE,Apache,AZ,85938,UNS ENERGY CORP (50%); SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (25%); TRI-STATE GENERATION & TRANSMISSION ASSOC INC (25%),8499180,D
2021,Springridge South Compressor Station,1004400,686 Hwy 789,32.195001,-93.901028,Keatchie,DE SOTO PARISH,LA,71046,THE WILLIAMS COS INC (100%),157043,"C,W"
2021,"Spruance Operating Services, LLC",1013345,5001 Commerce Road,37.45566,-77.4267,Richmond,RICHMOND CITY,VA,23234,VEOLIA ENVIRONMENTAL SERVICES NORTH AMERICA CORP (100%),323668,D
2021,Spur Energy Partners LLC,1013674,"9655 Katy Freeway, Suite 500",29.781987,-95.535607,HOUSTON,,TX,77024,SPUR ENERGY PARTNERS HOLDINGS LLC (100%),322950,W
2021,St Charles Energy Center,1012885,5025 Thomas Edison Drive,38.573334,-76.890951,Waldorf,CHARLES COUNTY,MD,20602,CPV POWER HOLDINGS LP (25%); MARUBENI AMERICA CORP (25%); OSAKA GAS ENERGY AMERICA CORP (25%); TOYOTA TSUSHO POWER USA INC (25%),1452602,"C,D"
2021,St Charles Operations (Taft/Star) Union Carbide Corp,1007031,355 LA HWY 3142 (GATE 1),29.9829,-90.4437,TAFT,ST. CHARLES PARISH,LA,70057,DOW INC (100%),2685456,"C,X"
2021,St Marys Cement INC,1005629,16000  BELLS BAY RD,45.316951,-85.299349,CHARLEVOIX,CHARLEVOIX COUNTY,MI,49720,VOTORANTIM CIMENTOS NORTH AMERICA INC (100%),1426484,"C,H"
2021,St. Clair,1000678,E CHINA TOWNSHIP,42.7642,-82.4719,SAINT CLAIR HAVEN,Saint Clair,MI,48054,DTE ENERGY CO (100%),3546722,"C,D"
2021,St. Francis Power Plant,1006116,631 COUNTY ROAD 101,36.5852,-90.1779,CAMPBELL,Dunklin,MO,63933,ASSOCIATED ELECTRIC COOPERATIVE INC (100%),356087,"C,D"
2021,St. Francisville,1002590,17238 Hwy 10 West,30.83486,-91.254997,St. Francisville,WEST FELICIANA PARISH,LA,70775,Enbridge (US) Inc (100%),68521,"C,W"
2021,St. Joseph Energy Center LLC,1012942,54745 Walnut Road,41.697037,-86.47686,New Carlisle,ST. JOSEPH COUNTY,IN,46552,ARES MANAGEMENT CORP (80%); TOYOTA TSUSHO AMERICA INC (20%),1636653,"C,D"
2021,St. Lawrence Gas Plant,1013867,8107 State Highway 137,31.831525,-101.682689,Garden City,GLASSCOCK COUNTY,TX,79739,WTG SOUTH PERMIAN MIDSTREAM LLC (100%),204152,"C,W"
2021,St. Nicholas Cogeneration Project,1001282,120 Yatesville Road,40.8222,-76.1736,SHENANDOAH,Schuylkill,PA,17976,SCHUYLKILL ENERGY RESOURCES INC (100%),1139345,"C,D"
2021,St. Paul Compressor Station,1012923,7791 N CO RD 650 W,39.42074,-85.61165,St. Paul,DECATUR COUNTY,IN,47274,TALLGRASS DEVELOPMENT LP (75%); PHILLIPS 66 (25%),174832,"C,W"
2021,"St. Paul Park Refining Company, LLC",1002027,301 St. Paul Park Road,44.850583,-93.002139,St. Paul Park,WASHINGTON COUNTY,MN,55071,MARATHON PETROLEUM CORP (100%),872088,"C,MM,P,Y"
2021,St.Charles,1013578,17494 River Rd,30.004648,-90.464826,Montz,ST. CHARLES PARISH,LA,70068,ENTERGY CORP (100%),1913978,D
2021,"Standard Forged Products, LLC - McKees Rocks",1008054,75 Nichols Avenue,40.4819,-80.06501,McKees Rocks,ALLEGHENY COUNTY,PA,15136,ARCOSA INC (100%),12969,C
2021,Stanley Booster Station,1008132,"Section 14, T155N, R91W",48.3271267,-102.4288062,Stanley,,ND,58784,MARATHON PETROLEUM CORP (100%),60773,"C,W"
2021,Stanton A,1007317,5100 S ALAFAYA TRAIL,28.4881,-81.1675,ORLANDO,Orange,FL,32831,NEXTERA ENERGY INC (100%),961696,D
2021,"Stanton Energy Reliability Center, LLC",1013939,10711 Dale Avenue,33.8073,-117.9833,Stanton,ORANGE COUNTY,CA,90680,STANTON ENERGY RELIABILITY CENTER LLC (100%),2605,D
2021,StarTex Gulf Coast Basin #220,1012964,"18615 Tuscany Stone, STE 275",29.61182,-98.49029,San Antonio,BEXAR COUNTY,TX,78258,FIELD STARTEX SERVICES LLC (100%),27532,W
2021,State Line (MO),1001111,2299 S STATE LINE AVE,37.0659,-94.614,JOPLIN,Jasper,MO,64804,LIBERTY UTILITIES CO (60%); EVERGY INC (40%),768416,D
2021,Stateline Compressor Station,1003657,1155 EIH 20 S,32.46806,-94.073059,Waskom,HARRISON COUNTY,TX,75692,ENERGY TRANSFER LP (100%),46113,"C,W"
2021,Steamboat Processing Facility,1013887,68 Cherokee Trail,42.793572,-105.490897,Douglas,CONVERSE COUNTY,WY,82633,MERITAGE MIDSTREAM SERVICES II LLC (100%),97649,"C,W"
2021,Steel Dynamics,1003059,455 West Industrial Drive,39.34439,-87.42121,Terre Haute,VIGO COUNTY,IN,47802,STEEL DYNAMICS INC (100%),30779,C
2021,"Steel Dynamics Columbus, LLC",1004616,1945 Airport Road,33.443611,-88.575556,Columbus,LOWNDES COUNTY,MS,39703,STEEL DYNAMICS INC (100%),575209,"C,Q"
