REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,(540) Civitas Resources - Denver Basin,1000355,555 17th St. Suite 3700,39.74431,-104.98858,Denver,,CO,80202,CIVITAS RESOURCES INC (100%),1171209,W
2022,(540) Civitas Resources - GB - Denver Basin,1014558,555 17th St. Suite 3700,39.7458215244102,-104.989242736558,Denver,,CO,80202,CIVITAS RESOURCES INC (100%),79593,W
2022,121 REGIONAL DISPOSAL FACILITY,1004377,3820 SAM RAYBURN HIGHWAY,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,NORTH TEXAS MUNICIPAL WATER DISTRICT (100%),325416,HH
2022,15-18565/15-18662,1010040,1021 Tori Drive,37.274127,-83.239034,Hazard,PERRY COUNTY,KY,40701,CAMBRIAN COAL LLC (100%),51539,FF
2022,"1876 Resources, LLC - Denver Basin",1013369,"1290 Broadway, Ste 1650",39.736521979671,-104.986760022578,Denver,,CO,80203,CUB CREEK ENERGY LLC (100%),58106,W
2022,220 Gulf Coast Basin,1012507,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),228166,W
2022,220 Gulf Coast Basin DEC,1009238,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),1173336,W
2022,23rd and 3rd,1000112,730 3rd Avenue,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),68839,"C,D"
2022,260 East Texas Basin - BP America Production Company,1009170,501 Westlake Park Blvd.,29.78037,-95.6295,Houston,,TX,77079,BP AMERICA INC (100%),15645,W
2022,30-30 Gas Plant,1013701,2300 FM 1622,33.05188,-102.88792,Plains,YOAKUM COUNTY,TX,79355,STAKEHOLDER GAS SERVICES LLC (100%),40913,"C,PP,RR (RPT),W"
2022,31st Street Landfill,1003742,11700 W 31ST ST,41.834962,-87.916392,WESTCHESTER,COOK COUNTY,IL,60154,CATHOLIC BISHOP OF CHICAGO (100%),106294,"C,HH"
2022,345 Arkoma Basin,1012472,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),66775,W
2022,350 South Oklahoma Folded Belt,1012466,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),90946,W
2022,360 Anadarko Basin,1012522,811 Louisiana Suite 2100,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),254530,W
2022,360 Anadarko Basin,1009265,"4700 Gaillardia Parkway, Ste. 200",35.56719,-97.49827,Oklahoma City,,OK,73142,CHAPARRAL ENERGY INC (100%),147115,W
2022,360 Anadarko Basin DEC,1008287,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),349859,W
2022,360 Anadarko Camino Production,1013331,1200 17th Street Suite 2200,39.751641505472,-104.996642344698,Denver,,CO,80202,CAMINO NATURAL RESOURCES LLC (100%),100487,W
2022,375 Sedgwick Basin,1012523,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),37528,W
2022,395 Williston Basin,1012526,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),151887,W
2022,395 Williston Basin GB WPX,1014714,333 W Sheridan Ave,35.4671552868991,-97.5177363607887,OKLAHOMA CITY,,OK,73102,DEVON ENERGY CORP (100%),31476,W
2022,3M BROWNWOOD,1003188,4501 HIGHWAY 377 SOUTH,31.671177,-98.996513,BROWNWOOD,BROWN COUNTY,TX,76801,3M CO (100%),29520,"C,N"
2022,3M CO,1005043,,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),87926,C
2022,3M CO - GUIN,1003739,6675 US HIGHWAY 43,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO (100%),29838,"C,N"
2022,3M CO - WAUSAU DOWNTOWN,1007698,144 ROSECRANS ST,44.95018,-89.63766,WAUSAU,MARATHON COUNTY,WI,54401,3M CO (100%),41528,C
2022,3M Chemical Operations' Cordova Facility,1006665,22614 ROUTE 84 NORTH,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO (100%),650245,"C,L,OO"
2022,3M Chemical Operations' Cottage Grove Facility,1004836,10746 Innovation Rd,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),24092,"C,L,N,OO"
2022,3M Chemical Operations' Decatur Facility,1004206,1400 STATE DOCKS RD.,34.641667,-87.038611,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),38182,"C,L,OO"
2022,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,3110 WALTERS DRIVE,34.70537,-92.24607,LITTLE ROCK,PULASKI COUNTY,AR,72206,3M CO (100%),32760,C
2022,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,905-915 ADAMS STREET SOUTHEAST,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),37329,C
2022,3M NEVADA PLANT,1004804,2120 E. AUSTIN,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO (100%),34976,C
2022,3M Pittsboro,1013282,4191 Hwy 87 South,35.660546,-79.176782,Moncure,,NC,27559,3M CO (100%),28142,C
2022,415 Strawn BKV  GB,1012545,4800 BLUE MOUND RD,32.78882,-97.34363,FORT WORTH,,TX,76106,BKV CORP (100%),146090,W
2022,415 Strawn Basin BKV - Production,1009276,4800 BLUE MOUND RD,35.4711808,-97.516602,FORT WORTH,,TX,76106,BKV CORP (100%),690921,W
2022,420 Fort Worth Syncline,1012495,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),165400,W
2022,420 Fort Worth Syncline BKV  GB,1012544,4800 Blue Mound Rd,32.78882,-97.34363,Fort Worth,,TX,76106,BKV CORP (100%),30610,W
2022,420 Fort Worth Syncline BKV - Production,1008289,1209 CR 1304,35.466697,-97.51453,Bridgeport,,TX,76426,BKV CORP (100%),933203,W
2022,425 Bend Arch,1012470,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),30570,W
2022,430 - Permian Basin - Pinon,1014915,757 N. Eldridge Pkwy,29.777060011298,-95.619325998993,Houston,,TX,77079,PINON MIDSTREAM LLC (100%),92245,W
2022,430 Cotton Draw Midstream,1013815,333 West Sheridan Avenue,35.4671340183253,-97.5177769043572,Oklahoma City,,OK,73102,COTTON DRAW MIDSTREAM LLC (100%),190852,W
2022,430 Permian Basin,1012500,"811 Louisiana, Suite 2100",29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),3407308,W
2022,430 Permian Basin DEC,1008290,333 West Sheridan Ave,35.466697,-97.51453,Oklahoma City,OKLAHOMA COUNTY,OK,73102,DEVON ENERGY CORP (100%),645555,W
